Card,Price Change %,Price Change $,Starting Price,Last Sale,Avg,Min Sale,Max Sale,Volume Change %,# of Sales,Total Sales $
"Beheeyem 2025 Scarlet & Violet: Black Bolt #041/086 Poke Ball Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$3.49","$3.49 (10/16/2025)","$3.49","$3.49","$3.49","-66.67","1","$3.49"
"Golett 2025 Scarlet & Violet: Black Bolt #042/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.59","$1.59 (10/16/2025)","$1.59","$1.59","$1.59","0.00","1","$1.59"
"Landorus 2025 Scarlet & Violet: Black Bolt #053/086 Poke Ball Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$2.55","$2.55 (10/09/2025)","$2.55","$2.55","$2.55","0.00","2","$5.10"
"Pansage 2025 Scarlet & Violet: Black Bolt #089/086 Illustration Rare Raw TCG (Near Mint)","0.00","$0.00","$7.99","$7.99 (10/03/2025)","$7.99","$7.99","$7.99","-87.50","2","$15.98"
"Lilligant 2025 Scarlet & Violet: Black Bolt #007/086 Base Raw TCG (Near Mint)","0.00","$0.00","$0.99","$0.99 (10/05/2025)","$0.99","$0.99","$0.99","-50.00","1","$0.99"
"Lilligant 2025 Scarlet & Violet: Black Bolt #007/086 Master Ball Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$8.72","$8.72 (10/05/2025)","$8.72","$8.72","$8.72","0.00","1","$8.72"
"Cubchoo 2025 Scarlet & Violet: Black Bolt #025/086 Base Raw TCG (Near Mint)","0.00","$0.00","$0.99","$0.99 (10/05/2025)","$0.99","$0.99","$0.99","0.00","1","$0.99"
"Cubchoo 2025 Scarlet & Violet: Black Bolt #025/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.95","$1.95 (10/10/2025)","$1.95","$1.95","$1.95","0.00","1","$1.95"
"Beartic 2025 Scarlet & Violet: Black Bolt #026/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.75","$1.75 (10/10/2025)","$1.75","$1.75","$1.75","0.00","1","$1.75"
"Tranquill 2025 Scarlet & Violet: Black Bolt #072/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$0.99","$0.99 (10/18/2025)","$1.26","$0.99","$1.75","100.00","4","$5.02"
"Unfezant 2025 Scarlet & Violet: Black Bolt #073/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$2.13","$2.13 (10/13/2025)","$2.13","$2.13","$2.13","0.00","1","$2.13"
"Panpour 2025 Scarlet & Violet: Black Bolt #017/086 Base Raw TCG (Near Mint)","0.00","$0.00","$0.99","$0.99 (10/05/2025)","$0.99","$0.99","$0.99","-50.00","1","$0.99"
"Simipour 2025 Scarlet & Violet: Black Bolt #018/086 Base Raw TCG (Near Mint)","0.00","$0.00","$0.99","$0.99 (10/10/2025)","$0.99","$0.99","$0.99","0.00","1","$0.99"
"Simipour 2025 Scarlet & Violet: Black Bolt #018/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.75","$1.75 (10/20/2025)","$1.50","$1.00","$1.75","200.00","3","$4.50"
"Munna 2025 Scarlet & Violet: Black Bolt #035/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$2.13","$2.13 (10/13/2025)","$2.13","$2.13","$2.13","0.00","1","$2.13"
"Duosion 2025 Scarlet & Violet: Black Bolt #038/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.59","$1.59 (10/10/2025)","$1.59","$1.59","$1.59","0.00","1","$1.59"
"Gurdurr 2025 Scarlet & Violet: Black Bolt #048/086 Base Raw TCG (Near Mint)","0.00","$0.00","$1.00","$1.00 (09/29/2025)","$1.00","$1.00","$1.00","-50.00","1","$1.00"
"Gurdurr 2025 Scarlet & Violet: Black Bolt #048/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.34","$1.34 (10/12/2025)","$1.34","$1.34","$1.34","0.00","1","$1.34"
"Krokorok 2025 Scarlet & Violet: Black Bolt #058/086 Master Ball Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$5.99","$5.99 (10/09/2025)","$5.99","$5.99","$5.99","-80.00","1","$5.99"
"Klang 2025 Scarlet & Violet: Black Bolt #062/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.99","$1.99 (10/10/2025)","$1.99","$1.99","$1.99","0.00","1","$1.99"
"Klang 2025 Scarlet & Violet: Black Bolt #062/086 Master Ball Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$2.99","$2.99 (10/12/2025)","$4.13","$2.99","$6.41","50.00","3","$12.39"
"Klinklang 2025 Scarlet & Violet: Black Bolt #063/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.14","$1.14 (10/23/2025)","$1.14","$1.14","$1.14","100.00","2","$2.28"
"Alomomola 2025 Scarlet & Violet: Black Bolt #024/086 Base Raw TCG (Near Mint)","0.00","$0.00","$0.99","$0.99 (10/04/2025)","$0.99","$0.99","$0.99","0.00","1","$0.99"
"Maractus 2025 Scarlet & Violet: Black Bolt #008/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$2.24","$2.24 (10/15/2025)","$2.24","$2.24","$2.24","0.00","1","$2.24"
"Venipede 2025 Scarlet & Violet: Black Bolt #054/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.00","$1.00 (10/12/2025)","$1.00","$1.00","$1.00","0.00","1","$1.00"
"Venipede 2025 Scarlet & Violet: Black Bolt #132/086 Illustration Rare Raw TCG (Near Mint)","0.00","$0.00","$6.99","$6.99 (10/24/2025)","$6.22","$0.99","$8.43","-25.00","30","$186.56"
"Whirlipede 2025 Scarlet & Violet: Black Bolt #055/086 Base Raw TCG (Near Mint)","0.00","$0.00","$0.99","$0.99 (10/05/2025)","$0.99","$0.99","$0.99","0.00","1","$0.99"
"Whirlipede 2025 Scarlet & Violet: Black Bolt #055/086 Master Ball Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$5.00","$5.00 (10/23/2025)","$5.24","$4.50","$6.39","0.00","6","$31.44"
"Scolipede 2025 Scarlet & Violet: Black Bolt #056/086 Base Raw TCG (Near Mint)","0.00","$0.00","$0.99","$0.99 (10/05/2025)","$0.99","$0.99","$0.99","0.00","1","$0.99"
"Scolipede 2025 Scarlet & Violet: Black Bolt #056/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.00","$1.00 (10/24/2025)","$1.00","$1.00","$1.00","0.00","1","$1.00"
"Antique Cover Fossil 2025 Scarlet & Violet: Black Bolt #080/086 Poke Ball Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$2.63","$2.63 (10/09/2025)","$2.63","$2.63","$2.63","-66.67","1","$2.63"
"Serperior ex 2025 Scarlet & Violet: Black Bolt #003/086 Double Rare Raw TCG (Near Mint)","0.00","$0.00","$1.45","$1.45 (10/23/2025)","$1.45","$1.45","$1.45","40.00","7","$10.15"
"Fennel 2025 Scarlet & Violet: Black Bolt #082/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.75","$1.75 (10/08/2025)","$1.75","$1.75","$1.75","-50.00","1","$1.75"
"Garbodor 2025 Scarlet & Violet: White Flare #060/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.99","$1.99 (10/13/2025)","$1.99","$1.99","$1.99","0.00","2","$3.98"
"Druddigon 2025 Scarlet & Violet: White Flare #071/086 Master Ball Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$13.12","$13.12 (09/27/2025)","$13.12","$13.12","$13.12","-83.33","1","$13.12"
"Oshawott 2025 Scarlet & Violet: White Flare #021/086 Base Raw TCG (Near Mint)","0.00","$0.00","$1.43","$1.43 (09/28/2025)","$1.43","$1.43","$1.43","-66.67","1","$1.43"
"Oshawott 2025 Scarlet & Violet: White Flare #021/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.25","$1.25 (10/23/2025)","$1.25","$1.25","$1.25","-80.00","1","$1.25"
"Swanna 2025 Scarlet & Violet: White Flare #026/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.95","$1.95 (10/14/2025)","$2.07","$1.49","$2.99","400.00","5","$10.33"
"Scrafty 2025 Scarlet & Violet: White Flare #058/086 Poke Ball Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.99","$1.99 (09/30/2025)","$1.99","$1.99","$1.99","-80.00","1","$1.99"
"Gothorita 2025 Scarlet & Violet: White Flare #042/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.98","$1.98 (10/15/2025)","$1.98","$1.98","$1.98","-50.00","1","$1.98"
"Stunfisk 2025 Scarlet & Violet: White Flare #035/086 Poke Ball Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$0.99","$0.99 (10/10/2025)","$1.21","$0.99","$1.65","0.00","3","$3.63"
"Purrloin 2025 Scarlet & Violet: White Flare #055/086 Master Ball Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$2.99","$2.99 (10/24/2025)","$3.88","$0.99","$13.05","83.33","11","$42.65"
"Virizion 2025 Scarlet & Violet: White Flare #010/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$0.99","$0.99 (10/03/2025)","$0.99","$0.99","$0.99","100.00","2","$1.98"
"Virizion 2025 Scarlet & Violet: White Flare #010/086 Poke Ball Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$2.85","$2.85 (10/04/2025)","$2.85","$2.85","$2.85","-50.00","1","$2.85"
"Emboar 2025 Scarlet & Violet: White Flare #013/086 Holo Raw TCG (Near Mint)","0.00","$0.00","$1.25","$1.25 (10/16/2025)","$1.25","$1.25","$1.25","-60.00","2","$2.50"
"Emboar 2025 Scarlet & Violet: White Flare #013/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$2.69","$2.69 (10/04/2025)","$2.69","$2.69","$2.69","-66.67","1","$2.69"
"Emboar 2025 Scarlet & Violet: White Flare #013/086 Poke Ball Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.00","$1.00 (10/06/2025)","$1.00","$1.00","$1.00","-75.00","1","$1.00"
"Tornadus 2025 Scarlet & Violet: White Flare #078/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$2.20","$2.20 (10/05/2025)","$2.20","$2.20","$2.20","0.00","1","$2.20"
"Tornadus 2025 Scarlet & Violet: White Flare #078/086 Poke Ball Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.49","$1.49 (10/17/2025)","$1.59","$1.49","$1.79","0.00","3","$4.77"
"Vanillish 2025 Scarlet & Violet: White Flare #028/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.59","$1.59 (10/12/2025)","$1.59","$1.59","$1.59","0.00","1","$1.59"
"Blitzle 2025 Scarlet & Violet: White Flare #031/086 Base Raw TCG (Near Mint)","0.00","$0.00","$1.36","$1.36 (10/13/2025)","$1.36","$1.31","$1.41","0.00","4","$5.44"
"Blitzle 2025 Scarlet & Violet: White Flare #031/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.00","$1.00 (10/18/2025)","$1.00","$1.00","$1.00","0.00","1","$1.00"
"Joltik 2025 Scarlet & Violet: White Flare #033/086 Base Raw TCG (Near Mint)","0.00","$0.00","$1.99","$1.99 (10/21/2025)","$1.99","$1.99","$1.99","0.00","1","$1.99"
"Joltik 2025 Scarlet & Violet: White Flare #033/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.04","$1.04 (10/09/2025)","$1.04","$1.04","$1.04","-50.00","1","$1.04"
"Deerling 2025 Scarlet & Violet: White Flare #006/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$0.99","$0.99 (10/09/2025)","$0.99","$0.99","$0.99","-66.67","1","$0.99"
"Sawsbuck 2025 Scarlet & Violet: White Flare #007/086 Master Ball Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.25","$1.25 (10/12/2025)","$1.25","$1.25","$1.25","-75.00","1","$1.25"
"Galvantula 2025 Scarlet & Violet: White Flare #034/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.08","$1.08 (10/03/2025)","$1.08","$1.08","$1.08","-50.00","1","$1.08"
"Zorua 2025 Scarlet & Violet: White Flare #061/086 Base Raw TCG (Near Mint)","0.00","$0.00","$1.49","$1.49 (10/17/2025)","$1.49","$1.49","$1.49","0.00","1","$1.49"
"Heatmor 2025 Scarlet & Violet: White Flare #019/086 Base Raw TCG (Near Mint)","0.00","$0.00","$1.49","$1.49 (10/02/2025)","$1.49","$1.49","$1.49","0.00","1","$1.49"
"Shelmet 2025 Scarlet & Violet: White Flare #008/086 Master Ball Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$2.99","$2.99 (10/24/2025)","$2.99","$2.99","$2.99","-66.67","1","$2.99"
"Shelmet 2025 Scarlet & Violet: White Flare #008/086 Poke Ball Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.99","$1.99 (10/04/2025)","$1.99","$1.99","$1.99","-66.67","1","$1.99"
"Accelgor 2025 Scarlet & Violet: White Flare #009/086 Master Ball Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$11.70","$11.70 (10/17/2025)","$11.70","$11.70","$11.70","-80.00","1","$11.70"
"Accelgor 2025 Scarlet & Violet: White Flare #009/086 Poke Ball Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.98","$1.98 (09/28/2025)","$1.98","$1.98","$1.98","-83.33","1","$1.98"
"Vanilluxe 2025 Scarlet & Violet: White Flare #029/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.08","$1.08 (10/09/2025)","$1.08","$1.08","$1.08","0.00","2","$2.16"
"Vanilluxe 2025 Scarlet & Violet: White Flare #029/086 Master Ball Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$11.50","$11.50 (10/07/2025)","$11.50","$11.50","$11.50","-88.89","1","$11.50"
"Yamask 2025 Scarlet & Violet: White Flare #039/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$0.99","$0.99 (10/09/2025)","$0.99","$0.99","$0.99","0.00","1","$0.99"
"Trubbish 2025 Scarlet & Violet: White Flare #059/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.99","$1.99 (10/20/2025)","$1.99","$1.99","$1.99","-50.00","1","$1.99"
"Litwick 2025 Scarlet & Violet: White Flare #016/086 Poke Ball Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$2.47","$2.47 (09/26/2025)","$2.47","$2.47","$2.47","-80.00","1","$2.47"
"Lampent 2025 Scarlet & Violet: White Flare #017/086 Base Raw TCG (Near Mint)","0.00","$0.00","$1.49","$1.49 (10/02/2025)","$1.49","$1.49","$1.49","0.00","1","$1.49"
"Gigalith 2025 Scarlet & Violet: White Flare #048/086 Base Raw TCG (Near Mint)","0.00","$0.00","$1.49","$1.49 (10/02/2025)","$1.49","$1.49","$1.49","0.00","1","$1.49"
"Archen 2025 Scarlet & Violet: White Flare #050/086 Base Raw TCG (Near Mint)","0.00","$0.00","$1.59","$1.59 (10/22/2025)","$1.59","$1.59","$1.59","0.00","1","$1.59"
"Deino 2025 Scarlet & Violet: White Flare #065/086 Base Raw TCG (Near Mint)","0.00","$0.00","$2.62","$2.62 (10/07/2025)","$2.62","$2.62","$2.62","-50.00","1","$2.62"
"Deino 2025 Scarlet & Violet: White Flare #065/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.26","$1.26 (10/01/2025)","$1.26","$1.26","$1.26","0.00","1","$1.26"
"Zweilous 2025 Scarlet & Violet: White Flare #066/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.26","$1.26 (10/01/2025)","$1.26","$1.26","$1.26","-50.00","1","$1.26"
"Durant 2025 Scarlet & Violet: White Flare #070/086 Base Raw TCG (Near Mint)","0.00","$0.00","$1.50","$1.50 (10/15/2025)","$1.50","$1.50","$1.50","-66.67","1","$1.50"
"Pansear 2025 Scarlet & Violet: White Flare #014/086 Poke Ball Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.99","$1.99 (10/04/2025)","$1.99","$1.99","$1.99","-83.33","1","$1.99"
"Swadloon 2025 Scarlet & Violet: White Flare #002/086 Base Raw TCG (Near Mint)","0.00","$0.00","$1.43","$1.43 (09/28/2025)","$1.43","$1.43","$1.43","0.00","1","$1.43"
"Swadloon 2025 Scarlet & Violet: White Flare #002/086 Master Ball Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$5.68","$5.68 (10/23/2025)","$5.68","$5.68","$5.68","-85.71","1","$5.68"
"Leavanny 2025 Scarlet & Violet: White Flare #003/086 Master Ball Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$14.22","$14.22 (10/13/2025)","$14.22","$14.22","$14.22","-80.00","1","$14.22"
"Leavanny 2025 Scarlet & Violet: White Flare #003/086 Poke Ball Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.77","$1.77 (10/13/2025)","$1.77","$1.77","$1.77","-80.00","1","$1.77"
"Simisear 2025 Scarlet & Violet: White Flare #015/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.74","$1.74 (10/12/2025)","$1.74","$1.74","$1.74","0.00","1","$1.74"
"Zebstrika 2025 Scarlet & Violet: White Flare #032/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.08","$1.08 (10/03/2025)","$1.08","$1.08","$1.08","-66.67","1","$1.08"
"Woobat 2025 Scarlet & Violet: White Flare #036/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.49","$1.49 (10/19/2025)","$1.49","$1.49","$1.49","-33.33","2","$2.98"
"Swoobat 2025 Scarlet & Violet: White Flare #120/086 Illustration Rare Raw TCG (Near Mint)","0.00","$0.00","$8.00","$8.00 (10/24/2025)","$9.90","$6.00","$17.86","-40.58","41","$405.91"
"Vullaby 2025 Scarlet & Violet: White Flare #063/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.49","$1.49 (10/19/2025)","$1.49","$1.49","$1.49","-50.00","1","$1.49"
"Vullaby 2025 Scarlet & Violet: White Flare #063/086 Master Ball Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$6.11","$6.11 (10/24/2025)","$6.11","$6.11","$6.11","-50.00","1","$6.11"
"Lillipup 2025 Scarlet & Violet: White Flare #074/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.16","$1.16 (09/30/2025)","$1.16","$1.16","$1.16","-66.67","1","$1.16"
"Gothitelle 2025 Scarlet & Violet: White Flare #043/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$2.49","$2.49 (09/28/2025)","$2.49","$2.49","$2.49","0.00","1","$2.49"
"Patrat 2025 Scarlet & Violet: White Flare #072/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$2.99","$2.99 (10/09/2025)","$2.99","$2.99","$2.99","-66.67","1","$2.99"
"Patrat 2025 Scarlet & Violet: White Flare #072/086 Poke Ball Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.49","$1.49 (09/29/2025)","$1.49","$1.49","$1.49","-71.43","2","$2.98"
"Cottonee 2025 Scarlet & Violet: White Flare #004/086 Poke Ball Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.62","$1.62 (10/03/2025)","$1.62","$1.62","$1.62","0.00","1","$1.62"
"Pignite 2025 Scarlet & Violet: White Flare #012/086 Base Raw TCG (Near Mint)","0.00","$0.00","$1.59","$1.59 (10/05/2025)","$1.59","$1.59","$1.59","0.00","1","$1.59"
"Pignite 2025 Scarlet & Violet: White Flare #012/086 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.59","$1.59 (10/12/2025)","$1.59","$1.59","$1.59","0.00","1","$1.59"
"Koffing 2025 Scarlet & Violet: Journey Together #091/159 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$2.36","$2.36 (10/07/2025)","$2.36","$2.36","$2.36","-66.67","1","$2.36"
"Super Potion 2025 Scarlet & Violet: Journey Together #158/159 Base Raw TCG (Near Mint)","0.00","$0.00","$1.09","$1.09 (10/17/2025)","$1.09","$1.09","$1.09","0.00","1","$1.09"
"Super Potion 2025 Scarlet & Violet: Journey Together #158/159 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.91","$1.91 (10/21/2025)","$1.73","$1.35","$1.91","-16.67","5","$8.67"
"Tyranitar 2025 Scarlet & Violet: Journey Together #095/159 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.69","$1.69 (10/23/2025)","$2.33","$0.99","$3.26","0.00","12","$27.94"
"Ludicolo 2025 Scarlet & Violet: Journey Together #037/159 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$3.31","$3.31 (10/13/2025)","$3.31","$3.31","$3.31","-66.67","3","$9.93"
"Articuno 2025 Scarlet & Violet: Journey Together #032/159 Base Raw TCG (Near Mint)","0.00","$0.00","$1.08","$1.08 (10/18/2025)","$1.08","$1.00","$1.16","0.00","2","$2.16"
"Mr. Mime 2025 Scarlet & Violet: Journey Together #058/159 Base Raw TCG (Near Mint)","0.00","$0.00","$1.35","$1.35 (10/15/2025)","$1.35","$1.35","$1.35","0.00","1","$1.35"
"Weezing 2025 Scarlet & Violet: Journey Together #092/159 Base Raw TCG (Near Mint)","0.00","$0.00","$0.99","$0.99 (10/04/2025)","$0.99","$0.99","$0.99","0.00","1","$0.99"
"Sentret 2025 Scarlet & Violet: Journey Together #118/159 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.99","$1.99 (10/11/2025)","$1.99","$1.99","$1.99","0.00","1","$1.99"
"Oricorio 2025 Scarlet & Violet: Journey Together #065/159 Base Raw TCG (Near Mint)","0.00","$0.00","$1.81","$1.81 (10/06/2025)","$1.81","$1.81","$1.81","0.00","1","$1.81"
"Professor's Research 2025 Scarlet & Violet: Journey Together #155/159 Base (Sada) Raw TCG (Near Mint)","0.00","$0.00","$0.99","$0.99 (10/21/2025)","$1.06","$0.99","$1.19","0.00","3","$3.17"
"Torkoal 2025 Scarlet & Violet: Journey Together #025/159 Base Raw TCG (Near Mint)","0.00","$0.00","$1.81","$1.81 (10/06/2025)","$1.81","$1.81","$1.81","0.00","1","$1.81"
"Cinccino 2025 Scarlet & Violet: Journey Together #126/159 Base Raw TCG (Near Mint)","0.00","$0.00","$0.70","$0.70 (09/26/2025)","$0.70","$0.70","$0.70","-50.00","1","$0.70"
"Cinccino 2025 Scarlet & Violet: Journey Together #126/159 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$2.99","$2.99 (10/14/2025)","$2.99","$2.99","$2.99","-75.00","2","$5.98"
"Larvitar 2025 Scarlet & Violet: Journey Together #080/159 Base Raw TCG (Near Mint)","0.00","$0.00","$1.06","$1.06 (10/02/2025)","$1.06","$1.06","$1.06","0.00","1","$1.06"
"Sprigatito 2025 Scarlet & Violet: Journey Together #016/159 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.79","$1.79 (10/01/2025)","$1.79","$1.79","$1.79","-83.33","1","$1.79"
"Toedscool 2025 Scarlet & Violet: Journey Together #088/159 Base Raw TCG (Near Mint)","0.00","$0.00","$2.00","$2.00 (10/06/2025)","$2.00","$2.00","$2.00","0.00","1","$2.00"
"Bombirdier 2025 Scarlet & Violet: Journey Together #101/159 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.08","$1.08 (10/12/2025)","$1.08","$1.08","$1.08","0.00","1","$1.08"
"Druddigon 2025 Scarlet & Violet: Journey Together #115/159 Base Raw TCG (Near Mint)","0.00","$0.00","$1.70","$1.70 (10/06/2025)","$1.70","$1.59","$1.81","100.00","2","$3.40"
"Rockruff 2025 Scarlet & Violet: Journey Together #084/159 Base Raw TCG (Near Mint)","0.00","$0.00","$1.00","$1.00 (10/03/2025)","$1.00","$1.00","$1.00","0.00","1","$1.00"
"Rockruff 2025 Scarlet & Violet: Journey Together #084/159 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$2.00","$2.00 (10/12/2025)","$2.00","$2.00","$2.00","-50.00","1","$2.00"
"Milcery 2025 Scarlet & Violet: Journey Together #074/159 Base Raw TCG (Near Mint)","0.00","$0.00","$0.70","$0.70 (09/26/2025)","$0.70","$0.70","$0.70","-50.00","1","$0.70"
"Grimmsnarl 2025 Scarlet & Violet: Journey Together #073/159 Base Raw TCG (Near Mint)","0.00","$0.00","$1.75","$1.75 (10/06/2025)","$1.75","$1.75","$1.75","0.00","2","$3.50"
"Cufant 2025 Scarlet & Violet: Journey Together #109/159 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.99","$1.99 (10/01/2025)","$1.99","$1.99","$1.99","0.00","1","$1.99"
"Minccino 2025 Scarlet & Violet: Journey Together #125/159 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$2.64","$2.64 (10/01/2025)","$2.64","$2.64","$2.64","-87.50","1","$2.64"
"Floragato 2025 Scarlet & Violet: Journey Together #017/159 Base Raw TCG (Near Mint)","0.00","$0.00","$1.74","$1.74 (10/14/2025)","$1.74","$1.74","$1.74","0.00","1","$1.74"
"Audino 2025 Scarlet & Violet: Journey Together #124/159 Base Raw TCG (Near Mint)","0.00","$0.00","$1.81","$1.81 (10/06/2025)","$1.81","$1.81","$1.81","-50.00","1","$1.81"
"Metang 2025 Scarlet & Violet: Journey Together #062/159 Base Raw TCG (Near Mint)","0.00","$0.00","$0.99","$0.99 (10/10/2025)","$0.99","$0.99","$0.99","0.00","1","$0.99"
"Bagon 2025 Scarlet & Violet: Journey Together #112/159 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.30","$1.30 (10/23/2025)","$1.30","$1.30","$1.30","-66.67","1","$1.30"
"Lotad 2025 Scarlet & Violet: Journey Together #035/159 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$0.99","$0.99 (10/18/2025)","$1.44","$0.71","$2.02","133.33","7","$10.08"
"Shuppet 2025 Scarlet & Violet: Journey Together #059/159 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$2.63","$2.63 (10/06/2025)","$2.63","$2.63","$2.63","-50.00","1","$2.63"
"Regice 2025 Scarlet & Violet: Journey Together #042/159 Base Raw TCG (Near Mint)","0.00","$0.00","$1.00","$1.00 (10/18/2025)","$1.00","$1.00","$1.00","0.00","1","$1.00"
"Kecleon 2025 Scarlet & Violet: Journey Together #122/159 Base Raw TCG (Near Mint)","0.00","$0.00","$1.35","$1.35 (10/04/2025)","$1.35","$1.35","$1.35","0.00","1","$1.35"
"Kecleon 2025 Scarlet & Violet: Journey Together #122/159 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.49","$1.49 (10/06/2025)","$1.49","$1.49","$1.49","-85.71","1","$1.49"
"Wailmer 2025 Scarlet & Violet: Journey Together #040/159 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.78","$1.78 (10/07/2025)","$1.78","$1.78","$1.78","-75.00","1","$1.78"
"Remoraid 2025 Scarlet & Violet: Journey Together #033/159 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.29","$1.29 (10/16/2025)","$1.29","$1.29","$1.29","-83.33","1","$1.29"
"Drampa 2025 Scarlet & Violet: Journey Together #130/159 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.00","$1.00 (10/14/2025)","$1.00","$1.00","$1.00","-83.33","1","$1.00"
"Shelmet 2025 Scarlet & Violet: Journey Together #012/159 Reverse Holo Raw TCG (Near Mint)","0.00","$0.00","$1.25","$1.25 (10/23/2025)","$1.25","$1.25","$1.25","-66.67","1","$1.25"
