Card,Price Change %,Price Change $,Starting Price,Last Sale,Avg,Min Sale,Max Sale,Volume Change %,# of Sales,Total Sales $
"Heatran 2025 Scarlet & Violet: Prismatic Evolutions #068/131 Poke Ball Reverse Holo Raw TCG (Near Mint)","114.29","$1.60","$1.40","$3.00 (10/15/2025)","$2.05","$1.40","$3.00","200.00","3","$6.15"
"Groudon 2025 Scarlet & Violet: Prismatic Evolutions #049/131 Master Ball Reverse Holo Raw TCG (Near Mint)","114.12","$9.13","$8.00","$17.13 (10/24/2025)","$10.86","$5.00","$17.13","30.00","13","$141.16"
"Galvantula 2025 Scarlet & Violet: White Flare #034/086 Master Ball Reverse Holo Raw TCG (Near Mint)","113.63","$5.67","$4.99","$10.66 (10/24/2025)","$6.72","$4.99","$10.66","-25.00","6","$40.30"
"Cynthia's Milotic 2025 Scarlet & Violet: Destined Rivals #053/182 Base Raw TCG (Near Mint)","111.90","$1.88","$1.68","$3.56 (10/04/2025)","$2.62","$1.68","$3.56","-33.33","2","$5.24"
"Misty's Lapras 2025 Scarlet & Violet: Destined Rivals #050/182 Reverse Holo Raw TCG (Near Mint)","111.11","$1.10","$0.99","$2.09 (10/19/2025)","$1.85","$0.99","$2.99","70.00","17","$31.44"
"Mega Abomasnow ex 2025 Japanese Mega Symphonia #18/63 Double Rare Raw TCG (Near Mint)","110.58","$1.04","$0.95","$1.99 (10/24/2025)","$1.35","$0.90","$2.14","-57.58","14","$18.91"
"Team Rocket's Archer 2025 Scarlet & Violet: Destined Rivals #170/182 Reverse Holo Raw TCG (Near Mint)","110.40","$1.38","$1.25","$2.63 (10/23/2025)","$2.12","$1.25","$2.66","0.00","12","$25.45"
"Lacey 2025 Scarlet & Violet: Prismatic Evolutions #114/131 Reverse Holo Raw TCG (Near Mint)","108.87","$1.35","$1.24","$2.59 (10/23/2025)","$1.92","$1.24","$2.59","0.00","2","$3.83"
"Throh 2025 Scarlet & Violet: Black Bolt #050/086 Poke Ball Reverse Holo Raw TCG (Near Mint)","108.12","$1.73","$1.60","$3.33 (09/28/2025)","$2.46","$1.60","$3.33","-66.67","2","$4.93"
"Shaymin 2025 Japanese Scarlet & Violet: Heat Wave Arena #066/063 Art Rare Raw TCG (Near Mint)","107.12","$5.87","$5.48","$11.35 (10/22/2025)","$7.11","$2.50","$11.35","-37.50","25","$177.77"
"Bloodmoon Ursaluna 2025 Scarlet & Violet: Prismatic Evolutions #054/131 Poke Ball Reverse Holo Raw TCG (Near Mint)","106.03","$2.11","$1.99","$4.10 (10/21/2025)","$3.04","$1.51","$4.10","33.33","8","$24.31"
"Bisharp 2025 Scarlet & Violet: Black Bolt #065/086 Master Ball Reverse Holo Raw TCG (Near Mint)","105.00","$6.30","$6.00","$12.30 (10/17/2025)","$8.23","$6.00","$12.30","-25.00","3","$24.70"
"Iron Boulder 2025 Scarlet & Violet: Prismatic Evolutions #046/131 Master Ball Reverse Holo Raw TCG (Near Mint)","103.86","$7.26","$6.99","$14.25 (10/21/2025)","$7.83","$2.25","$14.25","-20.00","8","$62.67"
"Giacomo 2025 Scarlet & Violet: Prismatic Evolutions #138/131 Ultra Rare (Full Art) Raw TCG (Near Mint)","103.06","$1.80","$1.74","$3.54 (10/24/2025)","$2.30","$1.25","$5.01","85.00","37","$85.23"
"Sacred Ash 2025 Scarlet & Violet: Destined Rivals #168/182 Reverse Holo Raw TCG (Near Mint)","103.03","$1.02","$0.99","$2.01 (10/18/2025)","$1.70","$0.99","$2.38","166.67","8","$13.63"
"Groudon 2025 Scarlet & Violet: Prismatic Evolutions #049/131 Poke Ball Reverse Holo Raw TCG (Near Mint)","102.86","$1.44","$1.40","$2.84 (10/22/2025)","$2.27","$1.40","$3.00","20.00","6","$13.63"
"Flutter Mane 2025 Scarlet & Violet: Prismatic Evolutions #043/131 Poke Ball Reverse Holo Raw TCG (Near Mint)","102.86","$1.44","$1.40","$2.84 (10/24/2025)","$1.81","$0.99","$3.00","120.00","11","$19.91"
"Meowscarada 2025 Scarlet & Violet: Journey Together #018/159 Holo Raw TCG (Near Mint)","102.86","$0.72","$0.70","$1.42 (10/18/2025)","$2.10","$0.70","$2.99","100.00","6","$12.59"
"Iono's Bellibolt ex 2025 Scarlet & Violet: Journey Together #053/159 Double Rare Raw TCG (Near Mint)","102.31","$1.77","$1.73","$3.50 (10/24/2025)","$2.24","$0.99","$4.50","3.85","27","$60.60"
"Whimsicott ex 2025 Japanese Scarlet & Violet: White Flare #167/086 Special Art Rare Raw TCG (Near Mint)","101.89","$11.35","$11.14","$22.49 (10/19/2025)","$18.43","$11.14","$22.49","-40.00","6","$110.55"
